id,price_doc
30474,5394328
30475,8043460
30476,5542681
30477,6598183
30478,5486060
30479,7699530
30480,4565263
30481,4337440
30482,4798174
30483,5083912
30484,6484075
30485,5177613
30486,4103874
30487,4166532
30488,6169353
30489,6707810
30490,16679326
30491,17300465
30492,5201194
30493,10389846
30494,7214456
30495,11480057
30496,7418537
30497,7118848
30498,4906536
30499,7572018
30500,12046592
30501,6436097
30502,3429400
30503,6183930
30504,5972863
30505,11322847
30506,2820538
30507,4712006
30508,4908456
30509,7095380
30510,9944357
30511,6292124
30512,6625437
30513,4633788
30514,3518492
30515,9877284
30516,5760257
30517,9696954
30518,6913112
30519,5382708
30520,5861284
30521,6004637
30522,7469968
30523,6522205
30524,7423889
30525,14986768
30526,4833491
30527,4901875
30528,6257909
30529,6995173
30530,6120455
30531,11437534
30532,5038522
30533,9831916
30534,7245013
30535,9920990
30536,6254972
30537,12104013
30538,5388817
30539,8431731
30540,10474242
30541,6585952
30542,2499529
30543,5265289
30544,6680233
30545,7822543
30546,4397705
30547,7447528
30548,5233619
30549,5490428
30550,10429379
30551,5138005
30552,2510979
30553,7210323
30554,10724256
30555,5989003
30556,6493530
30557,7669169
30558,7799219
30559,6033802
30560,6260434
30561,6507483
30562,11976822
30563,5156970
30564,6701679
30565,5818258
30566,7197039
30567,2498370
30568,9301762
30569,8205318
30570,6348565
30571,7870201
30572,4850706
30573,7444773
30574,6012662
30575,8071090
30576,4172487
30577,4390263
30578,2845153
30579,6574155
30580,5214698
30581,5538072
30582,12562900
30583,7266064
30584,4940646
30585,3701718
30586,9603560
30587,5404306
30588,6711897
30589,7400126
30590,12187521
30591,5198963
30592,6661356
30593,7225025
30594,7487781
30595,6914845
30596,6880725
30597,7416015
30598,10311456
30599,12088157
30600,5664339
30601,6045469
30602,2510948
30603,13125693
30604,5020912
30605,7309740
30606,19108831
30607,7005042
30608,8746910
30609,6588960
30610,3383469
30611,4847928
30612,6846565
30613,7544353
30614,18412967
30615,7282857
30616,5186268
30617,7913950
30618,5138150
30619,5104523
30620,2831480
30621,9008321
30622,8606878
30623,5825739
30624,6737451
30625,7428259
30626,6099678
30627,8939545
30628,7109991
30629,5258790
30630,5314959
30631,6036068
30632,4530360
30633,5106462
30634,12170128
30635,10468363
30636,5587981
30637,10046195
30638,6186709
30639,7615436
30640,4783489
30641,7419424
30642,6754876
30643,7924266
30644,10389253
30645,7282809
30646,5095563
30647,4638470
30648,19101650
30649,2804590
30650,5162038
30651,2838213
30652,4827704
30653,9126236
30654,4287508
30655,14054921
30656,4325347
30657,6249804
30658,11080967
30659,4816189
30660,7579682
30661,6925252
30662,8632135
30663,12614241
30664,13280042
30665,6712702
30666,2765999
30667,4020032
30668,6993533
30669,4943661
30670,2383591
30671,7267221
30672,17344624
30673,10457462
30674,11431472
30675,2499529
30676,7742047
30677,5095586
30678,13637977
30679,5946461
30680,5281129
30681,2603572
30682,8967517
30683,10989514
30684,5456185
30685,6845270
30686,9920191
30687,5199690
30688,4824262
30689,16074762
30690,19385939
30691,5057617
30692,6341971
30693,10471900
30694,5773574
30695,8043782
30696,6284415
30697,10620260
30698,7229173
30699,5775196
30700,4810769
30701,10340985
30702,5969461
30703,3939269
30704,11772934
30705,9480834
30706,17664207
30707,3185701
30708,12252554
30709,6006942
30710,6445362
30711,4679356
30712,4452462
30713,6298213
30714,6578496
30715,3779914
30716,10978685
30717,6133589
30718,10353391
30719,18930579
30720,7596479
30721,5610829
30722,8137191
30723,6945237
30724,11231327
30725,6711035
30726,12075355
30727,10149346
30728,6480180
30729,3209316
30730,5842158
30731,5891628
30732,5331846
30733,7610709
30734,7089170
30735,5379403
30736,6023060
30737,6348003
30738,5913194
30739,3595610
30740,6670858
30741,16366526
30742,4403579
30743,5085264
30744,9592199
30745,7873379
30746,5501571
30747,15102767
30748,14499439
30749,5187516
30750,6857410
30751,3650762
30752,10425672
30753,8416218
30754,5660846
30755,3370040
30756,7450680
30757,5332371
30758,10546840
30759,5877871
30760,3485472
30761,8370198
30762,6698247
30763,11969623
30764,6677846
30765,5581200
30766,3941593
30767,8646602
30768,5328554
30769,7029335
30770,6701455
30771,3414965
30772,8404337
30773,7274713
30774,5236082
30775,13237459
30776,5550240
30777,6673023
30778,10149188
30779,6820076
30780,7659348
30781,6865047
30782,4740685
30783,5867646
30784,3778029
30785,5016035
30786,4335516
30787,6410907
30788,6007488
30789,6500925
30790,6874030
30791,10346881
30792,7170014
30793,9832757
30794,14992550
30795,9462303
30796,11017623
30797,14022598
30798,2803912
30799,9647510
30800,11703052
30801,5742237
30802,11052353
30803,3737694
30804,3831027
30805,15772311
30806,7250272
30807,5644688
30808,11438012
30809,4769850
30810,12110110
30811,4491477
30812,5456157
30813,5527849
30814,2641611
30815,4234086
30816,8309229
30817,2491093
30818,7759613
30819,8761253
30820,4998214
30821,19384239
30822,10030971
30823,7717296
30824,3950701
30825,4910366
30826,11334035
30827,4998066
30828,6013084
30829,5545124
30830,9550191
30831,5204177
30832,5766698
30833,5321933
30834,4523316
30835,7436126
30836,6663643
30837,5635275
30838,5238338
30839,6193825
30840,11166845
30841,9545823
30842,6954238
30843,5415524
30844,7734550
30845,10047930
30846,4489460
30847,5145224
30848,8610284
30849,4216156
30850,4371164
30851,4240390
30852,5644975
30853,3940702
30854,5322850
30855,5358348
30856,6981377
30857,2578196
30858,4444469
30859,6337563
30860,5736036
30861,6342831
30862,6167090
30863,5629756
30864,5964136
30865,9842291
30866,7304142
30867,6197392
30868,8077588
30869,5403755
30870,5940405
30871,8143478
30872,4346827
30873,3770298
30874,4821039
30875,6555093
30876,4911894
30877,10408781
30878,5255496
30879,12671733
30880,5819566
30881,2491093
30882,10514105
30883,4369370
30884,5473106
30885,4725489
30886,7549129
30887,5336145
30888,5247455
30889,5089319
30890,7098962
30891,3910630
30892,3949128
30893,4533589
30894,5495821
30895,4316261
30896,6956968
30897,8579915
30898,7286009
30899,6226962
30900,3820729
30901,6247024
30902,2495244
30903,6448153
30904,7313725
30905,5374147
30906,5315573
30907,10840024
30908,4570635
30909,8395073
30910,7208437
30911,4483592
30912,6405399
30913,17282853
30914,6037988
30915,7743475
30916,4758538
30917,10379303
30918,6272047
30919,3370040
30920,5203833
30921,4141764
30922,5757065
30923,3723668
30924,4922016
30925,13826902
30926,7991013
30927,7387839
30928,4733743
30929,4922016
30930,10398182
30931,9747958
30932,5372938
30933,5362706
30934,12143694
30935,6849573
30936,6659445
30937,8690928
30938,3138471
30939,9007859
30940,6730272
30941,7208249
30942,3875435
30943,6430998
30944,4665999
30945,3325854
30946,13522775
30947,5315133
30948,7460596
30949,6022309
30950,5771096
30951,17235021
30952,7118374
30953,8210581
30954,4554796
30955,6002785
30956,8244685
30957,5734743
30958,32044601
30959,8187928
30960,7852922
30961,7954357
30962,8734098
30963,3907332
30964,4934662
30965,6686242
30966,12093250
30967,15167821
30968,3554699
30969,3679754
30970,6286996
30971,9596187
30972,3706639
30973,4719539
30974,5011718
30975,7859274
30976,5198662
30977,5474170
30978,8540659
30979,3708449
30980,6791965
30981,5832469
30982,6835037
30983,3862836
30984,5546909
30985,4219576
30986,10939943
30987,8891141
30988,6019949
30989,7540313
30990,13448659
30991,7927770
30992,2778316
30993,7098227
30994,5468042
30995,6595041
30996,5656132
30997,7283002
30998,5867806
30999,5668093
31000,7715472
31001,5998522
31002,8850654
31003,8946247
31004,4408984
31005,3002638
31006,7236367
31007,5392063
31008,5098766
31009,6547639
31010,6599396
31011,4171670
31012,5816665
31013,6366459
31014,10653932
31015,6581435
31016,4113486
31017,9868949
31018,5566077
31019,4611703
31020,5576969
31021,12545601
31022,22020783
31023,10548967
31024,5119929
31025,6158855
31026,6299635
31027,4952479
31028,5177749
31029,8257588
31030,6792582
31031,7008904
31032,10528587
31033,7533386
31034,6078988
31035,10079355
31036,6644083
31037,24969810
31038,4297080
31039,7754200
31040,5864610
31041,4455383
31042,5003226
31043,6214464
31044,9062477
31045,8004840
31046,14066645
31047,8221809
31048,6065023
31049,6479662
31050,7230693
31051,6415562
31052,3718303
31053,11082782
31054,6317182
31055,4301304
31056,12995234
31057,5215762
31058,6939593
31059,2658160
31060,7215148
31061,6106943
31062,5959862
31063,3796857
31064,5103398
31065,11209261
31066,4669183
31067,8727691
31068,4560185
31069,4961745
31070,4307950
31071,3682709
31072,7190749
31073,2491093
31074,7328515
31075,6168550
31076,6554849
31077,5497575
31078,4593492
31079,4518395
31080,7593858
31081,2774654
31082,10362870
31083,4706807
31084,9829149
31085,7082065
31086,3836715
31087,4965980
31088,7079279
31089,6181620
31090,30615929
31091,4858169
31092,7165844
31093,6712702
31094,6699962
31095,5379094
31096,21797803
31097,12136004
31098,9587209
31099,26404963
31100,4670294
31101,4125942
31102,6410544
31103,10516908
31104,5472583
31105,7775824
31106,4449522
31107,10039255
31108,6423721
31109,4703859
31110,9394518
31111,10520862
31112,5265302
31113,3525830
31114,5170699
31115,4921636
31116,6101684
31117,6047821
31118,3745360
31119,3821273
31120,5563657
31121,6180205
31122,5202145
31123,4190127
31124,5849711
31125,12072775
31126,18129144
31127,5417352
31128,5775560
31129,4730657
31130,13175391
31131,8107941
31132,8530809
31133,8778536
31134,6977293
31135,9611653
31136,8508587
31137,5229962
31138,6223429
31139,4039013
31140,7429291
31141,6650325
31142,10088108
31143,5378748
31144,3883724
31145,5663915
31146,5445877
31147,12984664
31148,6756831
31149,2499529
31150,8612970
31151,5420738
31152,7309601
31153,4569021
31154,13928215
31155,6504653
31156,9041906
31157,4463992
31158,9593977
31159,5921308
31160,5944007
31161,3675139
31162,4849646
31163,5439927
31164,5884260
31165,6204380
31166,5539866
31167,7887796
31168,9772073
31169,8412151
31170,5601268
31171,13833081
31172,4757807
31173,8499525
