"id","tags"
"0","THRILLER FICTION NOVEL"
"1","FICTION NOVEL SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
"2","FICTION NOVEL"
"3","FICTION HISTORICAL-FICTION NOVEL HISTORICAL-NOVEL"
"4","FICTION NOVEL SCIENCE-FICTION SPECULATIVE-FICTION"
"5","ROMANCE-NOVEL FICTION HISTORICAL-FICTION NOVEL HISTORICAL-NOVEL"
"6","FICTION NOVEL"
"7","SCIENCE-FICTION SPECULATIVE-FICTION"
"8","FICTION SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
"9","FICTION NOVEL SPECULATIVE-FICTION"
"10","ALTERNATE-HISTORY SCIENCE-FICTION SPECULATIVE-FICTION"
"11","CHILDREN'S-LITERATURE FICTION NOVEL SPECULATIVE-FICTION"
"12","ROMANCE-NOVEL FICTION NOVEL"
"13","SCIENCE-FICTION SPECULATIVE-FICTION"
"14","FICTION NOVEL"
"15","ROMANCE-NOVEL FICTION NOVEL HISTORICAL-NOVEL"
"16","COMEDY COMIC-NOVEL ROMANCE-NOVEL FICTION NOVEL FANTASY SPECULATIVE-FICTION SHORT-STORY"
"17","FICTION SCIENCE-FICTION SPECULATIVE-FICTION"
"18","CHILDREN'S-LITERATURE FICTION SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
"19","FICTION SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
"20","CHILDREN'S-LITERATURE FICTION SCIENCE-FICTION SPECULATIVE-FICTION"
"21","SCIENCE-FICTION SPECULATIVE-FICTION"
"22","AUTOBIOGRAPHY NON-FICTION BIOGRAPHY FICTION NOVEL"
"23","AUTOBIOGRAPHY MEMOIR NON-FICTION AUTOBIOGRAPHICAL-NOVEL BIOGRAPHY FICTION NOVEL SATIRE"
"24","FICTION NOVEL"
"25","CHILDREN'S-LITERATURE FICTION FANTASY SPECULATIVE-FICTION"
"26","FICTION NOVEL SPECULATIVE-FICTION"
"27","FICTION NOVEL SPECULATIVE-FICTION"
"28","FICTION NOVEL SPECULATIVE-FICTION"
"29","CRIME-FICTION SUSPENSE THRILLER FICTION MYSTERY"
"30","SCIENCE-FICTION SPECULATIVE-FICTION"
"31","CHILDREN'S-LITERATURE FANTASY SPECULATIVE-FICTION"
"32","CRIME-FICTION SUSPENSE THRILLER FICTION NOVEL SPECULATIVE-FICTION MYSTERY"
"33","CHILDREN'S-LITERATURE FICTION FANTASY SPECULATIVE-FICTION"
"34","CRIME-FICTION SUSPENSE FICTION SCIENCE-FICTION SPECULATIVE-FICTION MYSTERY"
"35","FICTION NOVEL"
"36","ROMANCE-NOVEL FICTION HISTORICAL-FICTION NOVEL FANTASY HISTORICAL-NOVEL SPECULATIVE-FICTION SHORT-STORY"
"37","SCIENCE-FICTION SPECULATIVE-FICTION"
"38","CRIME-FICTION SUSPENSE DETECTIVE-FICTION FICTION MYSTERY"
"39","FICTION SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
"40","AUTOBIOGRAPHY MEMOIR NON-FICTION AUTOBIOGRAPHICAL-NOVEL BIOGRAPHY FICTION NOVEL HISTORY SATIRE"
"41","CHILDREN'S-LITERATURE FICTION NOVEL SPECULATIVE-FICTION"
"42","FICTION NOVEL"
"43","FICTION NOVEL"
"44","CRIME-FICTION SUSPENSE THRILLER FICTION MYSTERY"
"45","FICTION NOVEL"
"46","NON-FICTION FICTION NOVEL"
"47","FICTION HISTORICAL-FICTION NOVEL FANTASY HISTORICAL-NOVEL SPECULATIVE-FICTION"
"48","CHILDREN'S-LITERATURE FICTION SCIENCE-FICTION FANTASY SPECULATIVE-FICTION HORROR"
"49","CHILDREN'S-LITERATURE FICTION"
"50","NON-FICTION FICTION NOVEL"
"51","CRIME-FICTION SUSPENSE THRILLER SPY-FICTION FICTION MYSTERY"
"52","FICTION NOVEL"
"53","FICTION FANTASY SPECULATIVE-FICTION"
"54","FICTION NOVEL SPECULATIVE-FICTION"
"55","SCIENCE-FICTION SPECULATIVE-FICTION"
"56","CHILDREN'S-LITERATURE FANTASY SPECULATIVE-FICTION"
"57","CHILDREN'S-LITERATURE FANTASY SPECULATIVE-FICTION"
"58","FICTION NOVEL"
"59","FICTION NOVEL"
"60","FICTION NOVEL"
"61","CRIME-FICTION SUSPENSE FICTION MYSTERY"
"62","FICTION SCIENCE-FICTION FANTASY SPECULATIVE-FICTION HORROR"
"63","ROMANCE-NOVEL FICTION NOVEL FANTASY SPECULATIVE-FICTION"
"64","SCIENCE-FICTION SPECULATIVE-FICTION"
"65","SUSPENSE FICTION SPECULATIVE-FICTION HORROR MYSTERY"
"66","CHILDREN'S-LITERATURE FANTASY SPECULATIVE-FICTION"
"67","FICTION SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
"68","FICTION SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
"69","FICTION NOVEL"
"70","CHILDREN'S-LITERATURE YOUNG-ADULT-LITERATURE FICTION"
