"id","tags"
"0","SPECULATIVE-FICTION FICTION CHILDREN'S-LITERATURE NOVEL"
"1","HISTORICAL-FICTION HISTORICAL-NOVEL ROMANCE-NOVEL FICTION NOVEL"
"2","FICTION NOVEL"
"3","HISTORICAL-FICTION HISTORICAL-NOVEL FICTION"
"4","FICTION NOVEL"
"5","ROMANCE-NOVEL FICTION NOVEL"
"6","SPECULATIVE-FICTION ROMANCE-NOVEL FICTION NOVEL"
"7","SCIENCE-FICTION FANTASY SPECULATIVE-FICTION"
"8","SPECULATIVE-FICTION FICTION NOVEL"
"9","NON-FICTION"
"10","SCIENCE-FICTION SPECULATIVE-FICTION"
"11","FANTASY SPECULATIVE-FICTION ROMANCE-NOVEL FICTION NOVEL"
"12","FANTASY HISTORICAL-NOVEL SPECULATIVE-FICTION ROMANCE-NOVEL FICTION"
"13","SCIENCE-FICTION SPECULATIVE-FICTION"
"14","FICTION NOVEL"
"15","ROMANCE-NOVEL FICTION NOVEL"
"16","FANTASY SPECULATIVE-FICTION FICTION NOVEL"
"17","SCIENCE-FICTION ADVENTURE-NOVEL YOUNG-ADULT-LITERATURE ALTERNATE-HISTORY SPECULATIVE-FICTION"
"18","SCIENCE-FICTION FANTASY SPECULATIVE-FICTION FICTION"
"19","FANTASY SPECULATIVE-FICTION FICTION"
"20","SCIENCE-FICTION SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
"21","SCIENCE-FICTION SPECULATIVE-FICTION"
"22","FICTION NOVEL"
"23","FICTION NOVEL"
"24","SPECULATIVE-FICTION ROMANCE-NOVEL FICTION NOVEL"
"25","ROMANCE-NOVEL FICTION MYSTERY NOVEL"
"26","HISTORICAL-FICTION SPECULATIVE-FICTION ROMANCE-NOVEL FICTION NOVEL"
"27","FICTION NOVEL"
"28","SPECULATIVE-FICTION FICTION NOVEL"
"29","HISTORICAL-NOVEL FICTION NOVEL"
"30","SCIENCE-FICTION SPECULATIVE-FICTION"
"31","FANTASY SPECULATIVE-FICTION"
"32","THRILLER SPY-FICTION FICTION NOVEL"
"33","CHILDREN'S-LITERATURE"
"34","SUSPENSE CRIME-FICTION FICTION MYSTERY"
"35","SPECULATIVE-FICTION ROMANCE-NOVEL FICTION NOVEL"
"36","HISTORICAL-NOVEL SPECULATIVE-FICTION FICTION NOVEL"
"37","SCIENCE-FICTION SPECULATIVE-FICTION"
"38","DETECTIVE-FICTION FICTION MYSTERY"
"39","SCIENCE-FICTION SPECULATIVE-FICTION"
"40","NON-FICTION"
"41","SPECULATIVE-FICTION ROMANCE-NOVEL FICTION CHILDREN'S-LITERATURE NOVEL"
"42","SCIENCE-FICTION SPECULATIVE-FICTION FICTION NOVEL"
"43","FICTION NOVEL"
"44","DETECTIVE-FICTION SUSPENSE FICTION MYSTERY"
"45","FICTION CHILDREN'S-LITERATURE"
"46","FICTION CHILDREN'S-LITERATURE NOVEL"
"47","HISTORICAL-FICTION HISTORICAL-NOVEL ROMANCE-NOVEL FICTION"
"48","SCIENCE-FICTION FANTASY SPECULATIVE-FICTION FICTION"
