id,price_doc
30474,5280000
30475,8260000
30476,5220000
30477,5750000
30478,4990000
30479,9360000
30480,4200000
30481,4220000
30482,4630000
30483,4760000
30484,6250000
30485,4940000
30486,3560000
30487,3880000
30488,6070000
30489,6120000
30490,22470000
30491,19870000
30492,5750000
30493,13440000
30494,6820000
30495,10270000
30496,8340000
30497,8280000
30498,4520000
30499,8150000
30500,11050000
30501,6770000
30502,3210000
30503,6670000
30504,5610000
30505,10750000
30506,3430000
30507,4740000
30508,5270000
30509,7420000
30510,9200000
30511,6540000
30512,6150000
30513,4250000
30514,3620000
30515,9680000
30516,5770000
30517,11040000
30518,8530000
30519,4420000
30520,6850000
30521,6060000
30522,7490000
30523,6360000
30524,10340000
30525,11640000
30526,4950000
30527,4830000
30528,6790000
30529,6700000
30530,6170000
30531,14330000
30532,4860000
30533,10660000
30534,6540000
30535,9490000
30536,5820000
30537,11310000
30538,4770000
30539,8360000
30540,9580000
30541,5920000
30542,2220000
30543,5500000
30544,6670000
30545,8350000
30546,4150000
30547,9770000
30548,4500000
30549,5080000
30550,11940000
30551,5150000
30552,1920000
30553,7580000
30554,10960000
30555,6160000
30556,9000000
30557,7390000
30558,9410000
30559,6270000
30560,6240000
30561,6730000
30562,12220000
30563,4860000
30564,7090000
30565,6520000
30566,6890000
30567,2070000
30568,9560000
30569,9880000
30570,6640000
30571,7470000
30572,4830000
30573,6480000
30574,6090000
30575,7550000
30576,4810000
30577,4090000
30578,3360000
30579,6860000
30580,4530000
30581,5430000
30582,12390000
30583,6800000
30584,4230000
30585,2450000
30586,9360000
30587,5610000
30588,7650000
30589,7100000
30590,12150000
30591,5270000
30592,6280000
30593,7920000
30594,6490000
30595,5580000
30596,6570000
30597,6480000
30598,9470000
30599,10530000
30600,4750000
30601,5880000
30602,1790000
30603,11990000
30604,4490000
30605,6750000
30606,26180000
30607,6640000
30608,8580000
30609,6120000
30610,3080000
30611,5320000
30612,6990000
30613,8740000
30614,16470000
30615,7300000
30616,5440000
30617,9090000
30618,4800000
30619,4160000
30620,2710000
30621,8850000
30622,7550000
30623,6160000
30624,6850000
30625,8020000
30626,6130000
30627,7180000
30628,6420000
30629,5250000
30630,4630000
30631,6080000
30632,4020000
30633,5730000
30634,11250000
30635,9580000
30636,5150000
30637,9570000
30638,5930000
30639,7560000
30640,4630000
30641,8050000
30642,6410000
30643,7650000
30644,9470000
30645,7150000
30646,5170000
30647,4680000
30648,24200000
30649,2100000
30650,4940000
30651,3540000
30652,4520000
30653,7110000
30654,4270000
30655,13000000
30656,3940000
30657,6280000
30658,11670000
30659,4710000
30660,8260000
30661,6620000
30662,8370000
30663,15360000
30664,11920000
30665,6060000
30666,2640000
30667,4110000
30668,9090000
30669,4760000
30670,2450000
30671,7210000
30672,16340000
30673,10210000
30674,11770000
30675,2220000
30676,6630000
30677,4000000
30678,18950000
30679,5660000
30680,5020000
30681,2460000
30682,8670000
30683,9540000
30684,4690000
30685,7450000
30686,9610000
30687,5030000
30688,4400000
30689,13270000
30690,26180000
30691,4370000
30692,6060000
30693,11180000
30694,5470000
30695,7010000
30696,6650000
30697,11880000
30698,7690000
30699,5860000
30700,4880000
30701,9470000
30702,6020000
30703,3770000
30704,11580000
30705,8780000
30706,23380000
30707,3650000
30708,13280000
30709,5940000
30710,6570000
30711,4510000
30712,4020000
30713,6290000
30714,7070000
30715,3910000
30716,9540000
30717,5890000
30718,7960000
30719,14520000
30720,7290000
30721,4460000
30722,7060000
30723,6000000
30724,11980000
30725,6860000
30726,11360000
30727,9680000
30728,11810000
30729,3470000
30730,6310000
30731,6380000
30732,4420000
30733,9480000
30734,6900000
30735,5460000
30736,5350000
30737,6510000
30738,5920000
30739,4220000
30740,6810000
30741,11400000
30742,4100000
30743,4970000
30744,9450000
30745,6860000
30746,5660000
30747,13630000
30748,16980000
30749,4660000
30750,6500000
30751,3150000
30752,7410000
30753,9770000
30754,5380000
30755,5130000
30756,5970000
30757,5240000
30758,10470000
30759,6030000
30760,4950000
30761,9910000
30762,6800000
30763,12040000
30764,6040000
30765,5910000
30766,3480000
30767,9700000
30768,4320000
30769,6900000
30770,6010000
30771,3010000
30772,8150000
30773,8200000
30774,5550000
30775,12070000
30776,5900000
30777,6230000
30778,8980000
30779,6530000
30780,7410000
30781,6500000
30782,5270000
30783,5590000
30784,3590000
30785,5210000
30786,4200000
30787,6110000
30788,5700000
30789,7430000
30790,6290000
30791,10000000
30792,7010000
30793,11860000
30794,13840000
30795,11270000
30796,12030000
30797,14640000
30798,2590000
30799,10540000
30800,13000000
30801,6140000
30802,19640000
30803,2680000
30804,3540000
30805,14880000
30806,6940000
30807,5950000
30808,10350000
30809,4870000
30810,11090000
30811,4400000
30812,5360000
30813,5130000
30814,2490000
30815,3790000
30816,7840000
30817,1880000
30818,7570000
30819,7600000
30820,4980000
30821,23320000
30822,8530000
30823,7120000
30824,3540000
30825,5320000
30826,10340000
30827,5540000
30828,5780000
30829,5340000
30830,8730000
30831,6460000
