id,price_doc
30474,5250000
30475,8230000
30476,5190000
30477,5720000
30478,4960000
30479,9330000
30480,4170000
30481,4190000
30482,4600000
30483,4730000
30484,6220000
30485,4910000
30486,3530000
30487,3850000
30488,6040000
30489,6090000
30490,22440000
30491,19840000
30492,5720000
30493,13410000
30494,6790000
30495,10240000
30496,8310000
30497,8250000
30498,4490000
30499,8120000
30500,11020000
30501,6740000
30502,3180000
30503,6640000
30504,5580000
30505,10720000
30506,3400000
30507,4710000
30508,5240000
30509,7390000
30510,9170000
30511,6510000
30512,6120000
30513,4220000
30514,3590000
30515,9650000
30516,5740000
30517,11010000
30518,8500000
30519,4390000
30520,6820000
30521,6030000
30522,7460000
30523,6330000
30524,10310000
30525,11610000
30526,4920000
30527,4800000
30528,6760000
30529,6670000
30530,6140000
30531,14300000
30532,4830000
30533,10630000
30534,6510000
30535,9460000
30536,5790000
30537,11280000
30538,4740000
30539,8330000
30540,9550000
30541,5890000
30542,2190000
30543,5470000
30544,6640000
30545,8320000
30546,4120000
30547,9740000
30548,4470000
30549,5050000
30550,11910000
30551,5120000
30552,1890000
30553,7550000
30554,10930000
30555,6130000
30556,8970000
30557,7360000
30558,9380000
30559,6240000
30560,6210000
30561,6700000
30562,12190000
30563,4830000
30564,7060000
30565,6490000
30566,6860000
30567,2040000
30568,9530000
30569,9850000
30570,6610000
30571,7440000
30572,4800000
30573,6450000
30574,6060000
30575,7520000
30576,4780000
30577,4060000
30578,3330000
30579,6830000
30580,4500000
30581,5400000
30582,12360000
30583,6770000
30584,4200000
30585,2420000
30586,9330000
30587,5580000
30588,7620000
30589,7070000
30590,12120000
30591,5240000
30592,6250000
30593,7890000
30594,6460000
30595,5550000
30596,6540000
30597,6450000
30598,9440000
30599,10500000
30600,4720000
30601,5850000
30602,1760000
30603,11960000
30604,4460000
30605,6720000
30606,26150000
30607,6610000
30608,8550000
30609,6090000
30610,3050000
30611,5290000
30612,6960000
30613,8710000
30614,16440000
30615,7270000
30616,5410000
30617,9060000
30618,4770000
30619,4130000
30620,2680000
30621,8820000
