id,price_doc
30474,5290000
30475,8260000
30476,5230000
30477,5760000
30478,5000000
30479,9370000
30480,4200000
30481,4230000
30482,4630000
30483,4760000
30484,6250000
30485,4950000
30486,3570000
30487,3880000
30488,6070000
30489,6130000
30490,22470000
30491,19880000
30492,5750000
30493,13440000
30494,6820000
30495,10280000
30496,8340000
30497,8290000
30498,4520000
30499,8160000
30500,11060000
30501,6770000
30502,3220000
30503,6680000
30504,5610000
30505,10760000
30506,3440000
30507,4750000
30508,5280000
30509,7420000
30510,9200000
30511,6540000
30512,6150000
30513,4250000
30514,3620000
30515,9690000
30516,5770000
30517,11040000
30518,8530000
30519,4420000
30520,6860000
30521,6070000
30522,7500000
30523,6360000
30524,10340000
30525,11650000
30526,4950000
30527,4830000
30528,6800000
30529,6700000
30530,6180000
30531,14340000
30532,4860000
30533,10660000
30534,6550000
30535,9500000
30536,5830000
30537,11310000
30538,4770000
30539,8360000
30540,9580000
30541,5930000
30542,2220000
30543,5510000
30544,6670000
30545,8350000
30546,4150000
30547,9780000
30548,4510000
30549,5090000
30550,11940000
30551,5150000
30552,1930000
30553,7590000
30554,10970000
30555,6170000
30556,9000000
30557,7390000
30558,9410000
30559,6280000
30560,6240000
30561,6740000
30562,12220000
30563,4870000
30564,7090000
30565,6530000
30566,6900000
30567,2080000
30568,9570000
30569,9890000
30570,6650000
30571,7480000
30572,4830000
30573,6480000
30574,6100000
30575,7560000
30576,4820000
30577,4100000
30578,3360000
30579,6860000
30580,4540000
30581,5430000
30582,12390000
30583,6800000
30584,4240000
30585,2460000
30586,9360000
30587,5620000
30588,7660000
30589,7110000
30590,12150000
30591,5280000
30592,6290000
30593,7920000
30594,6490000
30595,5590000
30596,6580000
30597,6480000
30598,9480000
30599,10540000
30600,4760000
30601,5880000
30602,1800000
30603,11990000
30604,4500000
30605,6750000
30606,26190000
30607,6640000
30608,8580000
30609,6120000
30610,3090000
30611,5320000
30612,7000000
30613,8740000
30614,16480000
30615,7310000
30616,5450000
30617,9100000
30618,4810000
30619,4160000
30620,2720000
30621,8850000
30622,7560000
30623,6170000
30624,6860000
30625,8030000
30626,6130000
30627,7180000
30628,6420000
30629,5250000
30630,4630000
30631,6090000
30632,4030000
30633,5730000
30634,11260000
30635,9580000
30636,5160000
30637,9580000
30638,5940000
30639,7560000
30640,4640000
30641,8050000
30642,6420000
30643,7650000
30644,9480000
30645,7160000
30646,5170000
30647,4690000
30648,24200000
30649,2100000
30650,4940000
30651,3540000
30652,4520000
30653,7110000
30654,4270000
30655,13000000
30656,3940000
30657,6280000
30658,11670000
30659,4720000
30660,8270000
30661,6630000
30662,8380000
30663,15360000
30664,11930000
30665,6060000
30666,2650000
30667,4110000
30668,9100000
30669,4770000
30670,2450000
30671,7210000
30672,16340000
30673,10220000
30674,11770000
30675,2220000
30676,6630000
30677,4010000
30678,18960000
30679,5670000
30680,5030000
30681,2470000
30682,8670000
30683,9540000
30684,4690000
30685,7460000
30686,9620000
30687,5040000
30688,4400000
30689,13280000
30690,26180000
30691,4370000
30692,6070000
30693,11180000
30694,5470000
30695,7020000
30696,6650000
30697,11880000
30698,7690000
30699,5870000
30700,4890000
30701,9480000
30702,6020000
30703,3770000
30704,11580000
30705,8780000
30706,23390000
30707,3650000
30708,13280000
30709,5940000
30710,6570000
30711,4520000
30712,4020000
30713,6290000
30714,7070000
30715,3920000
30716,9540000
30717,5900000
30718,7960000
30719,14530000
30720,7290000
30721,4460000
30722,7060000
30723,6010000
