id,price_doc
30474,5475894
30475,8177914.501
30476,5443276
30477,5730751.501
30478,5041366.501
30479,9151746
30480,4179349.25
30481,4324111.501
30482,4952997.501
30483,4714795.501
30484,6581075.501
30485,4990061.501
30486,3686621.25
30487,3444400
30488,6072921.501
30489,6173349
30490,23550562
30491,19216092
30492,5523830
30493,13189586
30494,6419726.501
30495,10920094
30496,8646764
30497,8460074
30498,4533521
30499,7695752
30500,10786810
30501,6964400.501
30502,2736503.501
30503,6469282
30504,5978701
30505,12560396
30506,3021574.25
30507,4646360
30508,5443670
30509,7315229.501
30510,9061630
30511,6542913.501
30512,6242689
30513,4197412
30514,3060400.501
30515,9689690
30516,5935087.501
30517,11592644
30518,8061624.501
30519,4381524.501
30520,7200865
30521,5687162
30522,7617273
30523,6731945.501
30524,11030464
30525,11253054
30526,4761492
30527,5148297
30528,6554042.501
30529,6631807.501
30530,6191427
30531,14472968
30532,4716842.501
30533,10815488
30534,6764017
30535,9326430
30536,5898514
30537,11896218
30538,5025654
30539,9707028
30540,9723168
30541,6331648
30542,1976412.75
30543,5940638.501
30544,6793428
30545,8437758
30546,4036986
30547,9721652
30548,4512740
30549,5069738.501
30550,12242384
30551,5002862.501
30552,1569218.25
30553,6462498.501
30554,10245894
30555,6255606
30556,8830108
30557,7217225
30558,9192648
30559,6652231
30560,6020035
30561,6694503
30562,12472600
30563,5022362.501
30564,7176038
30565,6744468.501
30566,6985557
30567,1698105.75
30568,9624606
30569,9567412
30570,6794336
30571,7473628
30572,4818341.501
30573,6428746.501
30574,6146671.501
30575,7718119.501
30576,4672724.501
30577,4220323
30578,3134344
30579,6877670.501
30580,4548735.501
30581,5666305
30582,13145184
30583,6789701.501
30584,4280571
30585,2596146.75
30586,8736584
30587,5895166.501
30588,8129595
30589,7522945
30590,12381776
30591,5522619
30592,6591001.501
30593,7632326.501
30594,7657582
30595,5399671.501
30596,6695647
30597,6428746.501
30598,9647724
30599,10625026
30600,5586150.501
30601,5873781.501
30602,1452213.375
30603,12426156
30604,4603926.501
30605,6539983.501
30606,22316022
30607,6938400.501
30608,8690028
30609,6184793
30610,2782000.501
30611,5493655
30612,7262938.501
30613,8750090
30614,16497690
30615,7431966.501
30616,5573750.501
30617,9378654
30618,5022627
30619,4439225
30620,2370537
30621,9053052
30622,7429218
30623,6282925.501
30624,6552580
30625,8113309
30626,6260115.501
30627,7154417.501
30628,6356785
30629,5400315
30630,4887087
30631,5969809.501
30632,4259857.501
30633,5962625
30634,11546766
30635,9589340
30636,5481224
30637,9460838
30638,6120429.501
30639,7434301
30640,4525767
30641,8156186.501
30642,6548820
30643,7687167
30644,9647724
30645,7376798
30646,5170992
30647,4646485.501
30648,22581678
30649,1962110
30650,5111703.501
30651,3133636.501
30652,4261044.501
30653,7461677.501
30654,4480568.501
30655,12448678
30656,4037070.75
30657,6364989.501
30658,10197094
30659,4601632
30660,8437800
30661,6723131.501
30662,7987329.501
30663,18216554
30664,11993918
30665,6158678
30666,2321756.75
30667,4230160
30668,8568650
30669,5365990.501
30670,2575929.75
30671,7040506.501
30672,15310718
30673,10378716
30674,10503350
30675,1749737.875
30676,6830538
30677,4209701
30678,19703606
30679,5927539
30680,5055729
30681,2384705.501
30682,9012356
30683,9562704
30684,4691232.501
30685,7673978
30686,9395804
30687,4918458.501
30688,4486630
30689,14675134
30690,24033538
30691,4392350.501
30692,5670686
30693,11168136
30694,5727256.501
30695,6934256.501
30696,6798165
30697,12647270
30698,7563905
30699,6051506.501
30700,4936400.501
30701,9647724
30702,6038561
30703,3722606.75
30704,11173140
30705,8995852
30706,25355228
30707,3370724.75
30708,13904370
30709,6246373.501
30710,7200676.501
30711,4536261
30712,4053169
30713,6145031.501
30714,6975030.501
30715,3969545.501
30716,9562704
30717,6594140.501
30718,8331933
30719,13827698
30720,7594001
30721,4979886.501
30722,7506171.501
30723,6109058.501
30724,12704068
30725,6648831
30726,12203484
30727,9643834
30728,10659828
30729,2950849
30730,6106212
30731,6317964.501
30732,4292971.501
30733,9374272
30734,7047758
30735,5511393.501
30736,5887434.501
30737,6940393
30738,6456187.501
30739,4404431
30740,6668314.501
30741,11607898
30742,3998059
30743,4827380.501
30744,9198552
30745,6422481
30746,5685525.501
30747,15135736
30748,16205924
30749,4802572
30750,6463061.501
30751,3087975.75
30752,7168957
30753,9699210
30754,5716920.501
30755,4615005
30756,6744691.501
30757,5310050
30758,10441946
30759,5661673.501
30760,3945299.75
30761,9824260
30762,6816290.501
30763,11627528
30764,6012237.501
30765,6159103
30766,3283637.75
30767,9645568
30768,4005802
30769,7305057.501
30770,6127572.501
30771,2391253.25
30772,8470328
30773,7871702
30774,5614700
30775,12287348
30776,5758589.501
30777,6277161
30778,8781132
30779,6413765
30780,7759835
30781,6696838
30782,5523110.501
30783,5628284
30784,3605032
30785,5602142.501
30786,4116061.501
30787,5989818
30788,5723909
30789,7282988
30790,6387851.501
30791,10118752
30792,7133160
30793,12379114
30794,14131616
30795,10978354
30796,11583266
30797,14575166
30798,2742837
30799,9759450
30800,13751908
30801,6150588.501
30802,19730562
30803,2776614
30804,3758396.25
30805,15416244
30806,7102157
30807,5959951.501
30808,10213296
30809,4810605
30810,11020948
30811,4341957.501
30812,5255218
30813,4648328
30814,2652907.75
30815,3620778.25
30816,8185728
