id,price_doc
30474,5362227
30475,8117007
30476,5318128
30477,5589535
30478,4854019
30479,9067812
30480,4177563
30481,4112703
30482,4585709
30483,4533051
30484,6324654
30485,4829391
30486,3668960
30487,3678647
30488,6078889
30489,6038088
30490,21874265
30491,18588669
30492,5663555
30493,12959319
30494,6528478
30495,10973453
30496,8196687
30497,8110105
30498,4444152
30499,7080343
30500,11041871
30501,6743395
30502,3012404
30503,6413607
30504,5607982
30505,10725389
30506,3201435
30507,4570647
30508,5401133
30509,7441021
30510,9095062
30511,6428914
30512,6168860
30513,4145440
30514,3632856
30515,9470019
30516,5699397
30517,10892105
30518,8968832
30519,4518489
30520,6784245
30521,5575553
30522,7279236
30523,6133384
30524,10137983
30525,10297591
30526,4649912
30527,4965595
30528,6473822
30529,6558320
30530,6039156
30531,14349628
30532,4542808
30533,9777141
30534,6531075
30535,9352645
30536,5599486
30537,11462348
30538,4939439
30539,8876248
30540,9484657
30541,5926785
30542,2116573
30543,5479410
30544,6669846
30545,8367593
30546,4107595
30547,9536861
30548,4324168
30549,4998577
30550,12125240
30551,4965786
30552,1821178
30553,7203525
30554,10341414
30555,6207749
30556,8844416
30557,7263406
30558,9053885
30559,6483842
30560,6018487
30561,6678734
30562,12090688
30563,4945197
30564,6985316
30565,6667251
30566,6675269
30567,2011422
30568,9830437
30569,9571313
30570,6499345
30571,7139785
30572,4704952
30573,6421140
30574,5969547
30575,7232492
30576,4730300
30577,4063454
30578,3199001
30579,7011490
30580,4415787
30581,5403571
30582,12651143
30583,6714571
30584,4399852
30585,2569683
30586,8652583
30587,5840187
30588,8066163
30589,7218359
30590,12688867
30591,5152189
30592,6616564
30593,7596034
30594,6848738
30595,5390054
30596,6546923
30597,6376650
30598,9443395
30599,10756704
30600,4897858
30601,5929029
30602,1745685
30603,11973461
30604,4591220
30605,6471948
30606,23939733
30607,6689052
30608,8233167
30609,6076592
30610,2832590
30611,5440911
30612,7082701
30613,8101847
30614,17506220
30615,7537812
30616,5582206
30617,9287115
30618,4893680
30619,4055396
30620,2723804
30621,8500722
30622,7652163
30623,6051794
30624,6467808
30625,7887902
30626,6209063
30627,6829890
30628,6310162
30629,5014482
30630,4796790
30631,5944963
30632,3978114
30633,5730476
30634,11139602
30635,9464985
30636,5153863
30637,9349262
30638,5779673
30639,7347785
30640,4467453
30641,7835297
30642,6304761
30643,7717482
30644,9451042
30645,7333404
30646,5186054
30647,4666689
30648,23095958
30649,2378077
30650,4894310
30651,3268568
30652,4250565
30653,7381996
30654,4379326
30655,11889041
30656,3804101
30657,6138633
30658,10373555
30659,4535531
30660,8489793
30661,6533347
30662,8015209
30663,16182691
30664,11828035
30665,6028453
30666,2591445
30667,4158774
30668,8847982
30669,4811558
30670,2455005
30671,7342355
30672,14229793
30673,10129243
30674,11335516
30675,2048906
30676,6732028
30677,4360084
30678,18903492
30679,5694968
30680,5154840
30681,2357381
30682,8414364
30683,9577255
30684,4435440
30685,7161538
30686,9302712
30687,4809622
30688,4451702
30689,15651631
30690,24175470
30691,4549199
30692,5858710
30693,11067924
30694,5255028
30695,7073041
30696,6553537
30697,12109166
30698,7474205
30699,5951964
30700,4780178
30701,9451042
30702,6018656
30703,3682641
30704,11296106
30705,8914568
30706,23422705
30707,3674400
30708,13957698
30709,5956063
30710,6889628
30711,4548045
30712,3941360
30713,6098796
30714,6775664
30715,3808206
30716,9563112
30717,6069488
30718,9142557
30719,15272895
30720,7207930
30721,4702764
30722,7067945
30723,6054416
30724,11774297
30725,6711242
30726,11497399
30727,9554292
30728,10973348
30729,3547668
30730,6030680
30731,6184284
30732,4425657
30733,9553920
30734,6906628
30735,5282969
30736,5299634
30737,6717287
30738,6047548
30739,4404106
30740,6832796
30741,10896866
30742,4052569
30743,4764070
30744,9022532
30745,6766770
30746,5462495
30747,15644402
30748,15931894
30749,4876225
30750,6293149
30751,3208524
30752,7228917
30753,9368954
30754,5427458
30755,4767645
30756,6621434
30757,5149002
30758,9970681
30759,6026743
30760,4565464
30761,9404885
30762,6626260
30763,11606829
30764,5990035
30765,5812824
30766,3520935
30767,9516750
30768,4441918
30769,6957215
30770,5954531
30771,2788533
30772,8326240
30773,7814575
30774,5618772
30775,12194489
30776,5484265
30777,6125435
30778,8980742
30779,6282480
30780,7412489
30781,6467460
30782,5113063
30783,5411468
30784,3487885
30785,5151454
30786,4060989
30787,6040817
30788,5532083
30789,7340958
30790,6419389
30791,9924930
30792,6991918
30793,11072755
30794,12894435
30795,10957990
30796,11357829
30797,13963740
30798,2635649
30799,9909631
30800,14754815
30801,6127718
30802,20702200
30803,2666227
30804,3568153
30805,14770775
30806,6905269
30807,5896913
30808,10166557
30809,4820680
30810,10907088
30811,4140580
30812,5270248
30813,4962580
30814,2536036
30815,3716067
30816,8405192
30817,1811492
30818,7502514
30819,7803357
30820,5112715
30821,25579536
30822,9041615
30823,7625137
30824,3492139
30825,5204479
30826,9990347
30827,5560298
30828,5738220
30829,5411155
30830,8457418
30831,6661636
30832,5638240
30833,4984563
30834,4020893
30835,7372110
30836,6333848
30837,4953056
30838,4379573
30839,5849649
30840,10941033
30841,11196902
30842,7013170
30843,5539892
30844,7154832
30845,8912988
30846,4117419
30847,5846308
30848,8236308
30849,4223650
30850,3899605
30851,4940485
30852,6422865
30853,4170146
30854,5548958
30855,7186546
30856,8567255
30857,2240016
30858,4134077
30859,5795236
30860,5797173
30861,8423566
30862,6369283
30863,5483373
30864,6153615
30865,9497347
30866,7003111
30867,5687090
30868,8203182
30869,5444832
30870,4936646
30871,8435371
30872,4965234
30873,3725212
30874,4831897
30875,6553630
30876,4781016
30877,10091815
30878,5508551
30879,10460193
30880,6130297
30881,1799347
30882,10507196
30883,3635609
30884,5615277
30885,5032204
30886,7404421
30887,5532340
30888,4390143
30889,5112339
30890,7110558
30891,3482348
30892,3626699
30893,4240760
30894,5549284
30895,4217576
30896,6303686
30897,7644151
30898,6608565
30899,6602932
30900,3289487
30901,6536573
30902,1991318
30903,6800275
30904,7713301
30905,5593326
30906,5715656
30907,11995730
30908,4032710
30909,12402790
30910,6895975
30911,4069208
30912,6371363
30913,18741334
30914,5934379
30915,7664577
30916,5585355
30917,8397987
30918,6480135
30919,4830800
30920,4808928
30921,3821324
30922,5786244
30923,3312821
30924,5195435
30925,14480727
30926,6762918
30927,7739159
30928,4683139
30929,5181409
30930,10184040
30931,11259601
30932,5001161
